Time,EMG,ECG,GSR
yyyy/mm/dd hh:mm:ss.000,mV,mV,kOhms
36:00.9,-1.98484756,-1.467314537,1261.072532
36:00.9,-1.98484756,-1.481378255,1261.072532
36:00.9,-1.975615711,-1.488590418,1261.072532
36:00.9,-1.975615711,-1.487869202,1261.072532
36:00.9,-1.987924843,-1.486787377,1261.072532
36:00.9,-1.987924843,-1.486787377,1261.79781
36:00.9,-2.009465824,-1.486787377,1261.072532
36:00.9,-2.009465824,-1.486787377,1261.072532
36:00.9,-2.006388541,-1.486787377,1261.79781
36:00.9,-2.006388541,-1.486787377,1260.348088
36:00.9,-1.98484756,-1.482099471,1261.072532
36:00.9,-1.98484756,-1.483541904,1261.072532
36:00.9,-1.975615711,-1.47849339,1261.79781
36:00.9,-1.975615711,-1.481738863,1261.072532
36:00.9,-1.978692994,-1.475969133,1260.348088
36:00.9,-1.978692994,-1.475247917,1261.072532
36:00.9,-1.972538428,-1.475608525,1261.79781
36:00.9,-1.972538428,-1.475608525,1261.072532
36:00.9,-1.972538428,-1.475608525,1261.072532
36:00.9,-1.972538428,-1.463708456,1261.072532
36:00.9,-1.975615711,-1.467675146,1261.072532
36:00.9,-1.975615711,-1.465511497,1261.79781
36:00.9,-1.975615711,-1.463708456,1261.072532
36:01.0,-1.975615711,-1.466593321,1261.79781
36:01.0,-1.975615711,-1.467314537,1261.072532
36:01.0,-1.978692994,-1.467314537,1261.072532
36:01.0,-1.978692994,-1.467314537,1261.072532
36:01.0,-1.991002126,-1.464069064,1261.072532
36:01.0,-1.991002126,-1.470560011,1261.79781
36:01.0,-2.000233975,-1.470560011,1261.072532
36:01.0,-2.000233975,-1.470560011,1261.072532
36:01.0,-1.991002126,-1.470560011,1261.79781
36:01.0,-1.991002126,-1.470560011,1261.79781
36:01.0,-1.975615711,-1.474887308,1261.79781
36:01.0,-1.975615711,-1.46479028,1261.072532
36:01.0,-1.969461145,-1.464069064,1261.79781
36:01.0,-1.969461145,-1.468396362,1261.79781
36:01.0,-1.978692994,-1.469838794,1261.79781
36:01.0,-1.978692994,-1.470199403,1261.79781
36:01.0,-1.987924843,-1.4745267,1261.072532
36:01.0,-1.987924843,-1.475608525,1261.79781
36:01.0,-2.009465824,-1.477772174,1262.523922
36:01.0,-2.009465824,-1.475247917,1261.79781
36:01.0,-2.018697673,-1.476329741,1262.523922
36:01.0,-2.018697673,-1.470560011,1261.79781
36:01.0,-1.987924843,-1.469838794,1261.79781
36:01.0,-1.987924843,-1.469117578,1261.79781
36:01.0,-1.960229296,-1.469117578,1261.79781
36:01.0,-1.960229296,-1.465872105,1261.79781
36:01.0,-1.963306579,-1.46875697,1261.79781
36:01.0,-1.963306579,-1.465150889,1261.79781
36:01.0,-1.969461145,-1.463347848,1262.523922
36:01.0,-1.969461145,-1.461544807,1262.523922
36:01.0,-1.969461145,-1.459381158,1262.523922
36:01.0,-1.969461145,-1.457217509,1262.523922
36:01.0,-1.975615711,-1.453611428,1262.523922
36:01.0,-1.975615711,-1.453611428,1262.523922
36:01.0,-1.981770277,-1.453611428,1261.79781
36:01.0,-1.981770277,-1.453611428,1261.79781
36:01.0,-2.000233975,-1.453611428,1262.523922
36:01.0,-2.000233975,-1.460462983,1262.523922
36:01.0,-1.991002126,-1.45325082,1262.523922
36:01.0,-1.991002126,-1.453611428,1261.79781
36:01.0,-1.991002126,-1.450726563,1261.79781
36:01.0,-1.966383862,-1.453611428,1261.79781
36:01.0,-1.966383862,-1.451808387,1261.79781
36:01.0,-1.966383862,-1.451808387,1261.79781
36:01.0,-1.966383862,-1.448923522,1261.79781
36:01.0,-1.972538428,-1.448562914,1261.79781
36:01.0,-1.972538428,-1.450365955,1262.523922
36:01.0,-1.978692994,-1.450726563,1261.79781
36:01.0,-1.978692994,-1.450726563,1262.523922
36:01.0,-1.981770277,-1.450726563,1261.79781
36:01.0,-1.981770277,-1.450726563,1261.79781
36:01.1,-1.98484756,-1.450726563,1262.523922
36:01.1,-1.98484756,-1.449644738,1262.523922
36:01.1,-1.987924843,-1.456135685,1262.523922
36:01.1,-1.987924843,-1.457938726,1261.79781
36:01.1,-1.978692994,-1.455414469,1261.79781
36:01.1,-1.978692994,-1.454332644,1263.25087
36:01.1,-1.969461145,-1.457217509,1262.523922
36:01.1,-1.969461145,-1.457217509,1261.79781
36:01.1,-1.972538428,-1.457217509,1262.523922
36:01.1,-1.972538428,-1.456496293,1263.25087
36:01.1,-1.975615711,-1.460823591,1263.25087
36:01.1,-1.975615711,-1.460823591,1262.523922
36:01.1,-1.978692994,-1.46479028,1262.523922
36:01.1,-1.978692994,-1.457938726,1263.25087
36:01.1,-1.987924843,-1.457938726,1263.25087
36:01.1,-1.987924843,-1.457938726,1263.25087
36:01.1,-1.991002126,-1.457217509,1262.523922
36:01.1,-1.991002126,-1.458659942,1262.523922
36:01.1,-1.994079409,-1.456856901,1263.25087
36:01.1,-1.994079409,-1.458659942,1262.523922
36:01.1,-1.987924843,-1.447841698,1262.523922
36:01.1,-1.987924843,-1.454332644,1263.25087
36:01.1,-1.978692994,-1.456496293,1262.523922
36:01.1,-1.978692994,-1.452529604,1263.25087
36:01.1,-1.978692994,-1.452529604,1262.523922
36:01.1,-1.978692994,-1.45325082,1263.25087
36:01.1,-1.987924843,-1.451808387,1262.523922
36:01.1,-1.987924843,-1.451808387,1263.25087
36:01.1,-1.987924843,-1.455414469,1262.523922
36:01.1,-2.003311258,-1.457938726,1263.25087
36:01.1,-2.003311258,-1.457938726,1263.25087
36:01.1,-2.003311258,-1.459381158,1263.25087
36:01.1,-2.003311258,-1.460462983,1262.523922
36:01.1,-1.991002126,-1.466232713,1263.25087
36:01.1,-1.991002126,-1.466232713,1263.25087
36:01.1,-1.975615711,-1.466593321,1262.523922
36:01.1,-1.975615711,-1.466593321,1263.25087
36:01.1,-1.966383862,-1.466593321,1263.25087
36:01.1,-1.966383862,-1.466593321,1263.25087
36:01.1,-1.966383862,-1.466593321,1263.25087
36:01.1,-1.966383862,-1.473444876,1262.523922
36:01.1,-1.978692994,-1.480657039,1263.25087
36:01.1,-1.978692994,-1.471281227,1263.25087
36:01.1,-1.987924843,-1.466593321,1263.25087
36:01.1,-1.987924843,-1.461905415,1263.25087
36:01.1,-1.978692994,-1.468035754,1263.25087
36:01.1,-1.978692994,-1.461905415,1263.25087
36:01.1,-1.975615711,-1.471281227,1263.25087
36:01.1,-1.975615711,-1.466953929,1263.25087
36:01.1,-1.972538428,-1.473444876,1263.25087
36:01.1,-1.972538428,-1.483902512,1263.25087
36:01.2,-1.975615711,-1.485344945,1263.978656
36:01.2,-1.975615711,-1.481738863,1263.978656
36:01.2,-1.978692994,-1.477050957,1263.978656
36:01.2,-1.978692994,-1.47849339,1263.25087
36:01.2,-1.981770277,-1.47849339,1263.25087
36:01.2,-1.981770277,-1.479575214,1263.25087
36:01.2,-1.98484756,-1.475969133,1263.978656
36:01.2,-1.98484756,-1.473444876,1263.25087
36:01.2,-1.987924843,-1.475247917,1263.978656
36:01.2,-1.987924843,-1.476690349,1263.25087
36:01.2,-1.978692994,-1.476690349,1263.978656
36:01.2,-1.978692994,-1.476690349,1263.978656
36:01.2,-1.975615711,-1.476690349,1263.978656
36:01.2,-1.975615711,-1.479214606,1263.978656
36:01.2,-1.994079409,-1.477772174,1263.978656
36:01.2,-1.994079409,-1.480296431,1263.978656
36:01.2,-2.003311258,-1.484623728,1263.978656
36:01.2,-2.003311258,-1.484623728,1263.25087
36:01.2,-2.003311258,-1.484623728,1263.978656
36:01.2,-1.994079409,-1.484623728,1263.978656
36:01.2,-1.994079409,-1.484623728,1263.978656
36:01.2,-1.98484756,-1.484623728,1263.978656
36:01.2,-1.98484756,-1.486787377,1263.978656
36:01.2,-1.978692994,-1.482099471,1263.978656
36:01.2,-1.978692994,-1.482099471,1263.978656
36:01.2,-1.975615711,-1.482099471,1263.978656
36:01.2,-1.975615711,-1.47849339,1263.978656
36:01.2,-1.978692994,-1.484984336,1263.25087
36:01.2,-1.978692994,-1.484984336,1264.707281
36:01.2,-1.991002126,-1.481378255,1263.978656
36:01.2,-1.991002126,-1.482460079,1263.978656
36:01.2,-2.003311258,-1.479214606,1263.978656
36:01.2,-2.003311258,-1.480657039,1263.978656
36:01.2,-1.987924843,-1.485344945,1263.978656
36:01.2,-1.987924843,-1.48426312,1264.707281
36:01.2,-1.981770277,-1.481378255,1263.978656
36:01.2,-1.981770277,-1.481738863,1264.707281
36:01.2,-1.98484756,-1.478132782,1263.978656
36:01.2,-1.98484756,-1.482460079,1263.978656
36:01.2,-1.98484756,-1.481017647,1263.978656
36:01.2,-1.98484756,-1.483181296,1263.25087
36:01.2,-1.98484756,-1.485344945,1264.707281
36:01.2,-1.98484756,-1.485344945,1265.436747
36:01.2,-1.98484756,-1.487869202,1264.707281
36:01.2,-1.98484756,-1.483181296,1264.707281
36:01.2,-1.98484756,-1.486066161,1263.978656
36:01.2,-1.98484756,-1.486066161,1264.707281
36:01.2,-1.98484756,-1.483902512,1264.707281
36:01.2,-1.98484756,-1.483181296,1264.707281
36:01.2,-1.98484756,-1.483181296,1263.978656
36:01.2,-1.98484756,-1.48426312,1264.707281
36:01.2,-1.98484756,-1.480657039,1263.978656
36:01.3,-1.98484756,-1.480657039,1264.707281
36:01.3,-1.994079409,-1.480657039,1264.707281
36:01.3,-1.994079409,-1.480657039,1264.707281
36:01.3,-2.006388541,-1.480657039,1264.707281
36:01.3,-2.006388541,-1.480657039,1264.707281
36:01.3,-2.006388541,-1.480657039,1264.707281
36:01.3,-2.003311258,-1.471281227,1264.707281
36:01.3,-2.003311258,-1.478853998,1265.436747
36:01.3,-1.991002126,-1.478853998,1264.707281
36:01.3,-1.991002126,-1.473444876,1264.707281
36:01.3,-1.991002126,-1.477411565,1265.436747
36:01.3,-1.991002126,-1.475969133,1264.707281
36:01.3,-1.987924843,-1.47849339,1265.436747
36:01.3,-1.987924843,-1.478132782,1264.707281
36:01.3,-1.98484756,-1.472002443,1264.707281
36:01.3,-1.98484756,-1.473444876,1265.436747
36:01.3,-1.997156692,-1.466953929,1263.978656
36:01.3,-1.997156692,-1.471281227,1264.707281
36:01.3,-2.003311258,-1.470560011,1265.436747
36:01.3,-2.003311258,-1.469838794,1264.707281
36:01.3,-2.012543107,-1.475608525,1265.436747
36:01.3,-2.012543107,-1.466232713,1264.707281
36:01.3,-2.012543107,-1.466593321,1264.707281
36:01.3,-2.012543107,-1.471641835,1265.436747
36:01.3,-1.994079409,-1.473084268,1265.436747
36:01.3,-1.994079409,-1.469478186,1264.707281
36:01.3,-1.997156692,-1.470920619,1265.436747
36:01.3,-1.997156692,-1.467314537,1264.707281
36:01.3,-2.021774957,-1.471641835,1265.436747
36:01.3,-2.021774957,-1.481738863,1264.707281
36:01.3,-2.027929523,-1.467675146,1265.436747
36:01.3,-2.027929523,-1.467675146,1264.707281
36:01.3,-2.000233975,-1.473805484,1265.436747
36:01.3,-2.000233975,-1.470199403,1265.436747
36:01.3,-1.987924843,-1.470199403,1265.436747
36:01.3,-1.987924843,-1.470199403,1265.436747
36:01.3,-1.994079409,-1.485705553,1266.167054
36:01.3,-1.994079409,-1.491835891,1264.707281
36:01.3,-1.991002126,-1.491835891,1265.436747
36:01.3,-1.991002126,-1.49796623,1265.436747
36:01.3,-1.987924843,-1.49796623,1264.707281
36:01.3,-1.987924843,-1.49796623,1265.436747
36:01.3,-1.997156692,-1.49796623,1265.436747
36:01.3,-1.997156692,-1.501572311,1265.436747
36:01.3,-1.997156692,-1.510226907,1265.436747
36:01.3,-2.006388541,-1.502293527,1265.436747
36:01.3,-2.006388541,-1.507342041,1266.167054
36:01.3,-2.009465824,-1.507342041,1265.436747
36:01.3,-2.009465824,-1.507342041,1265.436747
36:01.3,-2.003311258,-1.507342041,1264.707281
36:01.3,-2.003311258,-1.490032851,1265.436747
36:01.4,-2.003311258,-1.489311634,1266.167054
36:01.4,-2.003311258,-1.468396362,1265.436747
36:01.4,-2.003311258,-1.45902055,1265.436747
36:01.4,-2.003311258,-1.447841698,1265.436747
36:01.4,-2.006388541,-1.447841698,1265.436747
36:01.4,-2.006388541,-1.447841698,1265.436747
36:01.4,-2.009465824,-1.389423178,1265.436747
36:01.4,-2.009465824,-1.374277636,1266.167054
36:01.4,-2.006388541,-1.354444188,1265.436747
36:01.4,-2.006388541,-1.327037969,1266.167054
36:01.4,-2.006388541,-1.305040873,1266.167054
36:01.4,-2.006388541,-1.280519519,1266.167054
36:01.4,-2.009465824,-1.259243638,1266.167054
36:01.4,-2.009465824,-1.245540529,1265.436747
36:01.4,-2.012543107,-1.226788905,1265.436747
36:01.4,-2.012543107,-1.229313162,1266.167054
36:01.4,-2.018697673,-1.217052486,1265.436747
36:01.4,-2.018697673,-1.204070592,1266.167054
36:01.4,-2.02485224,-1.204431201,1265.436747
36:01.4,-2.02485224,-1.211643363,1266.167054
36:01.4,-2.02485224,-1.215249445,1266.167054
36:01.4,-2.02485224,-1.215249445,1265.436747
36:01.4,-2.031006806,-1.221740391,1265.436747
36:01.4,-2.031006806,-1.229673771,1266.167054
36:01.4,-2.021774957,-1.261407287,1266.167054
36:01.4,-2.021774957,-1.261407287,1266.167054
36:01.4,-2.006388541,-1.261407287,1266.167054
36:01.4,-2.006388541,-1.261407287,1266.167054
36:01.4,-2.01562039,-1.361656351,1265.436747
36:01.4,-2.01562039,-1.361656351,1266.167054
36:01.4,-2.034084089,-1.458659942,1266.167054
36:01.4,-2.034084089,-1.458659942,1266.167054
36:01.4,-2.037161372,-1.517078461,1266.167054
36:01.4,-2.037161372,-1.517078461,1265.436747
36:01.4,-2.037161372,-1.517078461,1266.167054
36:01.4,-2.01562039,-1.517078461,1266.167054
36:01.4,-2.01562039,-1.517078461,1266.167054
36:01.4,-2.003311258,-1.517078461,1265.436747
36:01.4,-2.003311258,-1.666730841,1266.167054
36:01.4,-2.009465824,-1.686203681,1266.167054
36:01.4,-2.009465824,-1.689088546,1266.167054
36:01.4,-2.018697673,-1.691973411,1266.167054
36:01.4,-2.018697673,-1.688006721,1265.436747
36:01.4,-2.012543107,-1.681155167,1266.167054
36:01.4,-2.012543107,-1.67466422,1266.167054
36:01.4,-2.012543107,-1.670697531,1265.436747
36:01.4,-2.012543107,-1.650142866,1266.167054
36:01.4,-2.009465824,-1.641848879,1266.167054
36:01.4,-2.009465824,-1.628506378,1266.167054
36:01.4,-2.009465824,-1.615885093,1266.167054
36:01.4,-2.009465824,-1.600378943,1265.436747
36:01.5,-2.009465824,-1.594248604,1266.167054
36:01.5,-2.009465824,-1.584512184,1266.167054
36:01.5,-2.012543107,-1.576218197,1266.167054
36:01.5,-2.012543107,-1.571890899,1266.167054
36:01.5,-2.012543107,-1.573333332,1266.167054
36:01.5,-2.012543107,-1.573333332,1266.167054
36:01.5,-2.021774957,-1.573333332,1266.167054
36:01.5,-2.021774957,-1.573333332,1266.167054
36:01.5,-2.021774957,-1.573333332,1266.898205
36:01.5,-2.021774957,-1.531863395,1266.167054
36:01.5,-2.018697673,-1.517799678,1266.898205
36:01.5,-2.018697673,-1.515636029,1266.167054
36:01.5,-2.021774957,-1.50770265,1265.436747
36:01.5,-2.021774957,-1.503014744,1266.167054
36:01.5,-2.021774957,-1.49796623,1266.167054
36:01.5,-2.021774957,-1.482099471,1266.167054
36:01.5,-2.021774957,-1.482099471,1266.898205
36:01.5,-2.021774957,-1.472002443,1266.167054
36:01.5,-2.021774957,-1.47272366,1266.167054
36:01.5,-2.021774957,-1.47272366,1266.167054
36:01.5,-2.02485224,-1.47272366,1266.167054
36:01.5,-2.02485224,-1.47272366,1266.167054
36:01.5,-2.02485224,-1.47272366,1266.167054
36:01.5,-2.021774957,-1.47272366,1266.167054
36:01.5,-2.021774957,-1.47272366,1266.167054
36:01.5,-2.021774957,-1.471281227,1266.167054
36:01.5,-2.021774957,-1.472363051,1266.167054
36:01.5,-2.02485224,-1.477772174,1266.167054
36:01.5,-2.02485224,-1.481017647,1266.167054
36:01.5,-2.021774957,-1.483541904,1266.167054
36:01.5,-2.021774957,-1.483181296,1266.167054
36:01.5,-2.01562039,-1.483181296,1266.167054
36:01.5,-2.01562039,-1.483181296,1266.167054
36:01.5,-2.02485224,-1.477772174,1266.898205
36:01.5,-2.02485224,-1.486066161,1266.898205
36:01.5,-2.040238655,-1.488951026,1265.436747
36:01.5,-2.040238655,-1.490032851,1266.167054
36:01.5,-2.01562039,-1.482099471,1266.167054
36:01.5,-2.01562039,-1.482099471,1266.167054
36:01.5,-2.009465824,-1.482099471,1266.167054
36:01.5,-2.009465824,-1.48426312,1266.167054
36:01.5,-2.01562039,-1.486787377,1266.898205
36:01.5,-2.01562039,-1.481017647,1265.436747
36:01.5,-2.018697673,-1.490032851,1266.167054
36:01.5,-2.018697673,-1.490032851,1266.898205
36:01.5,-2.02485224,-1.490032851,1266.167054
36:01.5,-2.02485224,-1.483541904,1265.436747
36:01.5,-2.018697673,-1.487869202,1265.436747
36:01.5,-2.018697673,-1.487869202,1266.167054
36:01.5,-2.009465824,-1.487869202,1266.167054
36:01.5,-2.009465824,-1.487869202,1266.167054
36:01.6,-2.003311258,-1.487869202,1266.167054
36:01.6,-2.003311258,-1.480657039,1266.167054
36:01.6,-2.009465824,-1.480657039,1266.167054
36:01.6,-2.009465824,-1.482099471,1266.167054
36:01.6,-2.018697673,-1.477772174,1265.436747
36:01.6,-2.018697673,-1.481378255,1266.167054
36:01.6,-2.021774957,-1.479214606,1266.898205
36:01.6,-2.021774957,-1.479214606,1266.167054
36:01.6,-2.021774957,-1.477411565,1266.167054
36:01.6,-2.021774957,-1.481738863,1266.167054
36:01.6,-2.021774957,-1.475247917,1265.436747
36:01.6,-2.012543107,-1.472002443,1266.167054
36:01.6,-2.012543107,-1.4745267,1265.436747
36:01.6,-2.01562039,-1.4745267,1266.167054
36:01.6,-2.01562039,-1.471281227,1266.167054
36:01.6,-2.018697673,-1.479935822,1265.436747
36:01.6,-2.018697673,-1.474887308,1266.167054
36:01.6,-2.01562039,-1.475247917,1266.167054
36:01.6,-2.01562039,-1.475608525,1266.167054
36:01.6,-2.018697673,-1.480657039,1266.167054
36:01.6,-2.018697673,-1.479575214,1266.167054
36:01.6,-2.018697673,-1.479575214,1266.167054
36:01.6,-2.018697673,-1.476690349,1266.167054
36:01.6,-2.01562039,-1.477411565,1266.167054
36:01.6,-2.01562039,-1.481017647,1266.167054
36:01.6,-2.02485224,-1.476329741,1266.167054
36:01.6,-2.02485224,-1.474887308,1266.167054
36:01.6,-2.018697673,-1.479214606,1265.436747
36:01.6,-2.018697673,-1.479214606,1266.167054
36:01.6,-2.012543107,-1.477772174,1266.167054
36:01.6,-2.012543107,-1.477772174,1266.167054
36:01.6,-2.012543107,-1.477772174,1266.898205
36:01.6,-2.012543107,-1.477772174,1265.436747
36:01.6,-2.021774957,-1.477772174,1265.436747
36:01.6,-2.021774957,-1.471641835,1266.167054
36:01.6,-2.031006806,-1.471641835,1266.167054
36:01.6,-2.031006806,-1.481017647,1266.898205
36:01.6,-2.018697673,-1.481017647,1265.436747
36:01.6,-2.018697673,-1.481017647,1266.167054
36:01.6,-2.012543107,-1.481017647,1266.167054
36:01.6,-2.012543107,-1.481017647,1266.167054
36:01.6,-2.018697673,-1.483902512,1266.167054
36:01.6,-2.018697673,-1.479575214,1266.167054
36:01.6,-2.018697673,-1.479575214,1266.167054
36:01.6,-2.018697673,-1.476329741,1266.167054
36:01.6,-2.01562039,-1.478853998,1266.167054
36:01.6,-2.01562039,-1.474166092,1266.167054
36:01.6,-2.012543107,-1.478132782,1266.167054
36:01.6,-2.012543107,-1.479575214,1266.167054
36:01.6,-2.012543107,-1.473084268,1266.167054
36:01.6,-2.018697673,-1.473084268,1265.436747
36:01.7,-2.018697673,-1.480296431,1264.707281
36:01.7,-2.018697673,-1.479935822,1266.167054
36:01.7,-2.018697673,-1.487147985,1266.167054
36:01.7,-2.01562039,-1.484984336,1265.436747
36:01.7,-2.01562039,-1.481378255,1265.436747
36:01.7,-2.012543107,-1.47849339,1265.436747
36:01.7,-2.012543107,-1.480657039,1266.167054
36:01.7,-2.012543107,-1.477050957,1265.436747
36:01.7,-2.012543107,-1.479575214,1265.436747
36:01.7,-2.01562039,-1.473805484,1264.707281
36:01.7,-2.01562039,-1.481738863,1265.436747
36:01.7,-2.009465824,-1.4745267,1265.436747
36:01.7,-2.009465824,-1.470920619,1265.436747
36:01.7,-2.009465824,-1.470920619,1265.436747
36:01.7,-2.009465824,-1.470920619,1265.436747
36:01.7,-2.01562039,-1.476329741,1265.436747
36:01.7,-2.01562039,-1.477050957,1266.167054
36:01.7,-2.02485224,-1.477050957,1265.436747
36:01.7,-2.02485224,-1.475608525,1265.436747
36:01.7,-2.021774957,-1.466232713,1265.436747
36:01.7,-2.021774957,-1.466232713,1264.707281
36:01.7,-2.021774957,-1.466232713,1266.167054
36:01.7,-2.021774957,-1.466232713,1265.436747
36:01.7,-2.027929523,-1.466232713,1265.436747
36:01.7,-2.027929523,-1.466232713,1264.707281
36:01.7,-2.021774957,-1.466232713,1265.436747
